iter	Logloss
0	0.6021981756
1	0.5257758348
2	0.4611674767
3	0.4027146624
4	0.3571392831
5	0.3157715569
6	0.2855235348
7	0.2590351984
8	0.2377209239
9	0.2183126338
10	0.2009125489
11	0.1874960694
12	0.1767257142
13	0.166658024
14	0.1595242255
15	0.1511056826
16	0.144024229
17	0.139078822
18	0.1330353228
19	0.1285248161
20	0.1240814941
21	0.1210980021
22	0.118760879
23	0.1160944924
24	0.1140612423
25	0.1113316205
26	0.1079029674
27	0.105253292
28	0.1033172979
29	0.1017851889
30	0.09994971993
31	0.09688088865
32	0.09513018141
33	0.09363035998
34	0.09149307041
35	0.09031725061
36	0.08899548923
37	0.08736086065
38	0.08631396939
39	0.0856388519
40	0.0847987894
41	0.08374873128
42	0.08262911896
43	0.08139220034
44	0.08082375481
45	0.08006624134
46	0.07934165595
47	0.07870764032
48	0.07682504368
49	0.07581685771
50	0.07519338492
51	0.07467525637
52	0.07384499967
53	0.07343487906
54	0.07303780883
55	0.07254166622
56	0.07204806708
57	0.07150871896
58	0.07105099505
59	0.06975903783
60	0.06943737827
61	0.06862491864
62	0.06804927525
63	0.0675027073
64	0.06716847752
65	0.06692240075
66	0.06639212385
67	0.06544777702
68	0.06507457013
69	0.06439717628
70	0.0640192222
71	0.06367314801
72	0.06324318554
73	0.06276980512
74	0.06235675398
75	0.06154775946
76	0.06064843315
77	0.06029996397
78	0.05996424666
79	0.05946905014
80	0.05877353229
81	0.05833590103
82	0.05797523842
83	0.05765107419
84	0.05716161048
85	0.05658202382
86	0.05629481663
87	0.05585312748
88	0.05547979404
89	0.05521553106
90	0.05468275101
91	0.05402789033
92	0.0533874859
93	0.05319610538
94	0.05300666605
95	0.05242547181
96	0.05217411937
97	0.05195659802
98	0.05161228895
99	0.0513482674
100	0.05117713337
101	0.05070173346
102	0.05036966361
103	0.05019374202
104	0.04975884542
105	0.04952507543
106	0.04938998582
107	0.04914642193
108	0.04878021442
109	0.04864849996
110	0.04826040629
111	0.04798072871
112	0.04753067985
113	0.04731536157
114	0.04708010136
115	0.04667165015
116	0.04643005505
117	0.04628205904
118	0.04616225741
119	0.04597291544
120	0.04581229083
121	0.04549054999
122	0.04515540622
123	0.04498421291
124	0.04482440578
125	0.04457229749
126	0.0443419789
127	0.0438799591
128	0.04355950804
129	0.04337449636
130	0.04328290079
131	0.04296343544
132	0.04282620431
133	0.04265619931
134	0.04233257703
135	0.04222227029
136	0.04202776838
